Id,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,MoSold,YrSold,MSZoning,LotShape,LandContour,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,BsmtFinType2,HeatingQC,KitchenQual,FireplaceQu,GarageType,GarageFinish,SaleType,SaleCondition
239,20,93.0,12030,8,5,2007,2007,254.0,0,1694,1694,1694,0,1694,0,2,0,3,7,0,2007.0,3,818,168,228,0,12,2007,RL,Reg,Lvl,Inside,NridgHt,Norm,1Fam,1Story,Hip,VinylSd,VinylSd,BrkFace,Ex,TA,PConc,Ex,No,Unf,Unf,Ex,Gd,,Attchd,Fin,New,Partial
240,50,52.0,8741,6,4,1945,1950,0.0,94,641,735,798,689,1487,0,1,1,3,7,1,1949.0,1,220,0,140,0,4,2010,RL,Reg,Lvl,Inside,Edwards,Norm,1Fam,1.5Fin,Gable,VinylSd,VinylSd,None,TA,TA,CBlock,TA,No,LwQ,Unf,TA,TA,Gd,Detchd,Unf,WD,Normal
241,20,75.0,9000,8,5,2008,2008,36.0,1078,488,1566,1566,0,1566,1,2,0,3,7,0,2008.0,2,750,144,168,0,4,2010,FV,Reg,Lvl,Inside,Somerst,Norm,1Fam,1Story,Gable,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,Av,GLQ,Unf,Ex,Gd,,Attchd,RFn,WD,Normal
242,30,40.0,3880,5,9,1945,1997,0.0,329,357,686,866,0,866,0,1,0,2,4,0,,0,0,58,42,0,8,2007,RM,Reg,Lvl,Inside,OldTown,Norm,1Fam,1Story,Gable,VinylSd,VinylSd,None,TA,Gd,CBlock,TA,No,ALQ,Unf,Gd,Gd,,,,WD,Normal
243,50,63.0,5000,5,4,1900,1950,0.0,0,540,540,889,551,1440,0,1,0,3,6,0,1940.0,1,352,0,0,77,4,2006,RM,Reg,Lvl,Corner,OldTown,Norm,1Fam,1.5Fin,Gable,Wd Sdng,Wd Sdng,None,TA,TA,BrkTil,TA,No,Unf,Unf,Gd,TA,,Attchd,Unf,WD,Normal
244,160,75.0,10762,6,6,1980,1980,0.0,0,626,626,626,591,1217,0,1,1,3,6,1,1980.0,1,288,0,28,0,4,2009,RL,Reg,Lvl,Corner,SawyerW,Norm,TwnhsE,2Story,Gable,Plywood,Plywood,None,TA,TA,CBlock,Gd,No,Unf,Unf,TA,TA,TA,Attchd,RFn,WD,Normal
245,60,,8880,7,5,1994,2002,0.0,695,253,948,1222,888,2110,1,2,1,3,8,2,1994.0,2,463,0,130,0,5,2010,RL,IR1,Lvl,Inside,SawyerW,Norm,1Fam,2Story,Gable,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,No,GLQ,Unf,Ex,Gd,Fa,Attchd,RFn,WD,Normal
246,20,80.0,10400,7,5,1988,1988,102.0,929,916,1845,1872,0,1872,0,2,0,3,6,1,1988.0,2,604,197,39,0,6,2006,RL,Reg,Lvl,Inside,NWAmes,Norm,1Fam,1Story,Gable,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,Gd,Av,GLQ,Unf,Gd,TA,TA,Attchd,Fin,WD,Normal
247,190,69.0,9142,6,8,1910,1950,0.0,0,1020,1020,908,1020,1928,0,2,0,4,9,0,1910.0,1,440,0,60,112,4,2006,RM,Reg,Lvl,Inside,OldTown,Norm,2fmCon,2Story,Gable,AsbShng,AsbShng,None,TA,Fa,Stone,Fa,No,Unf,Unf,Gd,Fa,,Detchd,Unf,WD,Normal
248,20,75.0,11310,6,5,1954,1954,0.0,0,1367,1367,1375,0,1375,0,1,0,2,5,1,1954.0,2,451,0,30,0,6,2006,RL,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,Hip,Wd Sdng,BrkFace,None,TA,TA,CBlock,TA,No,Unf,Unf,Ex,TA,TA,Attchd,Unf,WD,Normal
249,60,72.0,11317,7,5,2003,2003,101.0,0,840,840,840,828,1668,0,2,1,3,8,0,2003.0,2,500,144,68,0,9,2007,RL,Reg,Lvl,Inside,CollgCr,Norm,1Fam,2Story,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,No,Unf,Unf,Ex,Gd,,Attchd,RFn,WD,Normal
250,50,,159000,6,7,1958,2006,472.0,697,747,1444,1444,700,2144,0,2,0,4,7,2,1958.0,2,389,0,98,0,6,2007,RL,IR2,Low,CulDSac,ClearCr,Norm,1Fam,1.5Fin,Gable,Wd Sdng,HdBoard,BrkCmn,Gd,TA,CBlock,Gd,Gd,Rec,Unf,Gd,Gd,TA,Attchd,Fin,WD,Normal
251,30,55.0,5350,3,2,1940,1966,0.0,0,728,728,1306,0,1306,0,1,0,3,6,0,,0,0,263,0,0,5,2010,RL,IR1,Lvl,Inside,BrkSide,Norm,1Fam,1Story,Gable,Wd Sdng,Plywood,None,TA,Po,CBlock,TA,No,Unf,Unf,Ex,Fa,,,,WD,Normal
252,120,44.0,4750,8,5,2006,2007,481.0,1573,0,1573,1625,0,1625,1,2,0,2,5,1,2006.0,2,538,123,0,0,12,2007,RM,IR1,HLS,Inside,Crawfor,Norm,TwnhsE,1Story,Hip,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,Gd,GLQ,Unf,Ex,Gd,Gd,Attchd,Fin,WD,Family
253,60,65.0,8366,6,5,2004,2004,0.0,0,798,798,798,842,1640,0,2,1,3,6,0,2004.0,2,520,138,45,0,12,2008,RL,IR1,Lvl,Inside,SawyerW,Norm,1Fam,2Story,Gable,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,No,Unf,Unf,Ex,Gd,,Attchd,RFn,WD,Normal
254,80,85.0,9350,6,7,1964,1991,108.0,270,452,1302,1302,0,1302,0,2,0,3,7,0,1964.0,1,309,333,0,0,10,2007,RL,Reg,Lvl,Inside,NAmes,Norm,1Fam,SLvl,Hip,HdBoard,HdBoard,BrkFace,TA,TA,CBlock,Gd,Gd,LwQ,ALQ,Ex,Gd,,Attchd,RFn,CWD,Normal
255,20,70.0,8400,5,6,1957,1957,0.0,922,392,1314,1314,0,1314,1,1,0,3,5,0,1957.0,1,294,250,0,0,6,2010,RL,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,Gable,MetalSd,MetalSd,None,TA,Gd,CBlock,TA,No,Rec,Unf,TA,TA,,Attchd,RFn,WD,Normal
256,60,66.0,8738,7,5,1999,1999,302.0,0,975,975,1005,1286,2291,0,2,1,4,8,1,1999.0,2,429,192,0,0,2,2006,RL,IR1,Lvl,Inside,Gilbert,Norm,1Fam,2Story,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,No,Unf,Unf,Ex,Gd,TA,BuiltIn,Fin,WD,Normal
257,60,64.0,8791,6,5,2003,2003,0.0,503,361,864,864,864,1728,0,2,1,3,7,0,2003.0,2,673,216,56,0,5,2008,FV,IR1,Lvl,Inside,Somerst,Norm,1Fam,2Story,Gable,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,No,Rec,Unf,Ex,Gd,,Attchd,RFn,WD,Normal
258,20,68.0,8814,7,5,2006,2006,180.0,1334,270,1604,1604,0,1604,1,2,1,3,8,1,2006.0,2,660,123,110,0,3,2009,RL,Reg,Lvl,Inside,CollgCr,Norm,1Fam,1Story,Gable,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,No,GLQ,Unf,Ex,Gd,Gd,Attchd,RFn,WD,Abnorml
259,60,80.0,12435,7,5,2001,2001,172.0,361,602,963,963,829,1792,0,2,1,3,7,1,2001.0,2,564,0,96,0,5,2008,RL,Reg,Lvl,Inside,CollgCr,Norm,1Fam,2Story,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,No,GLQ,Unf,Ex,Gd,TA,Attchd,RFn,WD,Normal
260,20,70.0,12702,5,5,1956,1956,0.0,0,0,0,882,0,882,0,1,0,2,4,0,1956.0,1,308,0,45,0,12,2008,RM,Reg,Lvl,Inside,OldTown,Norm,1Fam,1Story,Gable,BrkFace,BrkFace,None,TA,TA,PConc,,,,,Gd,TA,,Detchd,Unf,WD,Normal
261,80,120.0,19296,6,5,1962,1962,399.0,672,0,1362,1382,0,1382,1,1,0,3,6,1,1991.0,2,884,0,0,252,5,2009,RL,Reg,Lvl,Corner,NAmes,Artery,1Fam,SLvl,Gable,Wd Sdng,Wd Sdng,BrkFace,TA,TA,CBlock,TA,Gd,Rec,ALQ,TA,TA,TA,Attchd,Unf,WD,Normal
262,60,69.0,9588,8,5,2007,2007,270.0,0,1482,1482,1482,1092,2574,0,2,1,3,10,1,2007.0,3,868,0,148,0,11,2007,RL,IR1,Lvl,Inside,CollgCr,Norm,1Fam,2Story,Gable,CemntBd,CmentBd,Stone,Gd,TA,PConc,Ex,No,Unf,Unf,Ex,Ex,Gd,BuiltIn,Fin,New,Partial
263,80,88.0,8471,6,7,1977,1995,46.0,506,0,506,1212,0,1212,1,1,0,3,6,1,1978.0,2,492,292,12,0,7,2006,RL,IR1,Lvl,Corner,Sawyer,Norm,1Fam,SLvl,Gable,HdBoard,Plywood,BrkFace,TA,TA,CBlock,Gd,Av,ALQ,Unf,TA,TA,TA,Attchd,Unf,WD,Normal
264,50,50.0,5500,5,7,1929,2001,0.0,234,0,926,926,0,1316,1,1,0,3,6,0,1974.0,2,484,0,0,0,4,2010,RM,Reg,Lvl,Corner,OldTown,Norm,1Fam,1.5Fin,Gable,Wd Sdng,Wd Sdng,None,TA,TA,BrkTil,TA,No,LwQ,ALQ,TA,TA,,Detchd,Unf,WD,Normal
265,30,30.0,5232,5,5,1925,2004,0.0,0,680,680,764,0,764,0,1,0,2,4,0,1965.0,2,504,0,0,0,6,2008,RM,IR3,Bnk,Inside,OldTown,Artery,1Fam,1Story,Gable,Wd Sdng,Wd Sdng,None,TA,TA,BrkTil,Fa,No,Unf,Unf,Gd,TA,,Detchd,Unf,WD,Normal
266,20,78.0,12090,6,6,1981,1981,210.0,588,606,1422,1422,0,1422,0,2,0,3,7,1,1981.0,2,576,276,0,0,6,2008,RL,IR1,Lvl,Inside,NWAmes,Norm,1Fam,1Story,Gable,MetalSd,MetalSd,BrkFace,TA,Gd,CBlock,Gd,No,GLQ,LwQ,TA,Gd,TA,Attchd,Fin,WD,Normal
267,60,70.0,11207,6,5,1997,1997,0.0,714,88,802,802,709,1511,1,2,1,3,8,1,1997.0,2,413,95,75,0,6,2006,RL,IR1,HLS,FR2,Gilbert,Norm,1Fam,2Story,Gable,VinylSd,VinylSd,None,TA,TA,PConc,Gd,Av,GLQ,Unf,Gd,TA,TA,Attchd,Fin,WD,Normal
268,75,60.0,8400,5,8,1939,1997,0.0,378,342,720,1052,720,2192,0,2,1,4,8,1,1939.0,1,240,262,24,0,7,2008,RL,Reg,Bnk,Inside,SWISU,Norm,1Fam,2.5Fin,Gable,Wd Sdng,Wd Sdng,None,TA,TA,PConc,TA,No,LwQ,Unf,Ex,Gd,Gd,Detchd,Unf,WD,Normal
269,30,71.0,6900,5,6,1940,1955,0.0,403,212,740,778,0,778,0,1,0,2,4,1,1966.0,1,924,0,25,0,2,2008,RM,Reg,Lvl,Inside,IDOTRR,Norm,1Fam,1Story,Gable,VinylSd,VinylSd,None,TA,TA,CBlock,TA,No,ALQ,Rec,Ex,TA,Gd,Detchd,Fin,WD,Normal
270,20,,7917,6,7,1976,1976,174.0,751,392,1143,1113,0,1113,1,1,1,3,6,1,1987.0,1,504,370,30,0,5,2007,RL,IR1,Lvl,Corner,Edwards,Norm,1Fam,1Story,Hip,HdBoard,HdBoard,BrkFace,TA,Gd,CBlock,TA,No,BLQ,Unf,TA,TA,Fa,Attchd,RFn,WD,Normal
271,60,84.0,10728,8,5,2006,2006,0.0,0,1095,1095,1095,844,1939,0,2,1,3,8,1,2006.0,3,1053,192,51,0,8,2006,FV,Reg,Lvl,Inside,Somerst,Norm,1Fam,2Story,Gable,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,Mn,Unf,Unf,Gd,Gd,Gd,Attchd,RFn,New,Partial
272,20,73.0,39104,7,7,1954,2005,0.0,226,96,1385,1363,0,1363,1,1,0,2,5,2,1954.0,2,439,81,0,0,4,2008,RL,IR1,Low,CulDSac,ClearCr,Norm,1Fam,1Story,Flat,Plywood,Plywood,None,TA,TA,CBlock,Gd,Gd,LwQ,GLQ,Ex,TA,TA,Attchd,Unf,WD,Normal
273,60,92.0,11764,8,7,1999,2007,348.0,524,628,1152,1164,1106,2270,0,2,1,4,9,1,1999.0,3,671,132,57,0,4,2010,RL,IR1,Lvl,CulDSac,NoRidge,Norm,1Fam,2Story,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,No,GLQ,Unf,Ex,Gd,Gd,Attchd,Fin,WD,Normal
274,20,80.0,9600,6,6,1958,1988,183.0,620,0,1240,1632,0,1632,1,2,0,3,6,1,1958.0,1,338,289,0,0,4,2009,RL,Reg,Lvl,Inside,NAmes,Feedr,1Fam,1Story,Hip,Wd Sdng,Wd Sdng,BrkCmn,TA,TA,CBlock,TA,No,Rec,LwQ,Gd,TA,Gd,Attchd,RFn,WD,Normal
275,20,76.0,8314,5,7,1982,1982,0.0,546,270,816,816,0,816,0,1,0,2,5,0,1982.0,1,264,168,0,0,6,2007,RL,Reg,Lvl,Corner,Mitchel,Norm,1Fam,1Story,Gable,HdBoard,ImStucc,None,TA,TA,CBlock,TA,Gd,ALQ,Unf,TA,TA,,Attchd,Unf,WD,Normal
276,50,55.0,7264,7,7,1925,2007,0.0,0,952,952,952,596,1548,0,2,1,3,5,0,1978.0,2,672,74,0,0,10,2009,RL,Reg,Lvl,Inside,BrkSide,Norm,1Fam,1.5Fin,Gable,Wd Sdng,Wd Sdng,None,Gd,Gd,BrkTil,TA,No,Unf,Unf,Gd,Ex,,Detchd,Unf,WD,Normal
277,20,129.0,9196,7,5,2003,2003,0.0,0,1560,1560,1560,0,1560,0,2,0,3,7,0,2003.0,2,573,100,150,0,4,2010,RL,IR1,Lvl,Inside,Mitchel,Norm,1Fam,1Story,Gable,VinylSd,VinylSd,None,Gd,TA,PConc,Ex,No,Unf,Unf,Ex,Gd,,Attchd,Fin,WD,Normal
278,20,140.0,19138,4,5,1951,1951,0.0,120,744,864,864,0,864,0,1,0,2,4,0,1951.0,2,400,0,0,0,6,2010,RL,Reg,Lvl,Corner,Gilbert,Norm,1Fam,1Story,Gable,VinylSd,VinylSd,None,TA,TA,CBlock,TA,No,LwQ,Unf,Ex,TA,,Detchd,Unf,WD,Normal
279,20,107.0,14450,9,5,2006,2007,315.0,0,2121,2121,2121,0,2121,0,2,1,3,8,1,2007.0,3,732,124,98,0,5,2007,RL,Reg,Lvl,Inside,NridgHt,Norm,1Fam,1Story,Gable,CemntBd,CmentBd,BrkFace,Ex,TA,PConc,Ex,Gd,Unf,Unf,Ex,Ex,Ex,Attchd,Fin,New,Partial
280,60,83.0,10005,7,5,1977,1977,299.0,392,768,1160,1156,866,2022,0,2,1,4,8,1,1977.0,2,505,288,117,0,3,2008,RL,Reg,Lvl,Inside,ClearCr,Norm,1Fam,2Story,Hip,Plywood,Plywood,BrkFace,TA,TA,CBlock,Gd,No,BLQ,Unf,Ex,TA,TA,Attchd,Fin,WD,Normal
281,60,82.0,11287,7,6,1989,1989,340.0,421,386,807,1175,807,1982,0,2,1,3,7,1,1989.0,2,575,0,84,0,1,2007,RL,Reg,Lvl,Inside,SawyerW,Norm,1Fam,2Story,Gable,Plywood,Plywood,BrkFace,Gd,TA,CBlock,Gd,Av,GLQ,Unf,Gd,Gd,TA,Attchd,Fin,WD,Normal
282,20,60.0,7200,6,5,2006,2006,68.0,905,357,1262,1262,0,1262,0,2,0,2,5,0,2006.0,2,572,0,120,0,5,2006,FV,Reg,Lvl,Inside,Somerst,Norm,1Fam,1Story,Gable,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,No,GLQ,Unf,Gd,Gd,,Attchd,Fin,New,Partial
283,120,34.0,5063,7,5,2007,2008,166.0,904,410,1314,1314,0,1314,1,2,0,2,6,1,2008.0,2,626,172,62,0,4,2009,RL,Reg,Lvl,Inside,NridgHt,Norm,Twnhs,1Story,Gable,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,No,GLQ,Unf,Ex,Gd,Gd,Attchd,RFn,ConLw,Normal
284,20,74.0,9612,8,5,2008,2009,72.0,0,1468,1468,1468,0,1468,0,2,0,3,6,1,2008.0,3,898,210,150,0,12,2009,RL,Reg,Lvl,Inside,Somerst,Feedr,1Fam,1Story,Gable,VinylSd,VinylSd,Stone,Gd,TA,PConc,Gd,No,Unf,Unf,Ex,Gd,Gd,Attchd,Fin,New,Partial
285,120,50.0,8012,6,5,1992,1992,0.0,430,1145,1575,1575,0,1575,1,2,0,2,5,0,1992.0,2,529,0,0,52,7,2007,RL,Reg,Lvl,Inside,SawyerW,Norm,TwnhsE,1Story,Gable,Plywood,ImStucc,None,Gd,TA,PConc,Gd,No,GLQ,Unf,Gd,Gd,,Attchd,RFn,WD,Normal
286,160,35.0,4251,7,5,2006,2007,0.0,0,625,625,625,625,1250,0,2,1,2,5,0,2006.0,2,528,0,54,0,6,2007,FV,IR1,Lvl,Inside,Somerst,Norm,TwnhsE,2Story,Gable,MetalSd,MetalSd,None,Gd,TA,PConc,Gd,No,Unf,Unf,Ex,Gd,,Detchd,RFn,New,Partial
287,50,77.0,9786,6,7,1962,1981,0.0,600,312,912,1085,649,1734,0,1,1,3,7,1,1962.0,2,440,0,0,0,6,2006,RL,IR1,Bnk,Inside,NAmes,Norm,1Fam,1.5Fin,Gable,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,No,Rec,Unf,TA,Gd,Gd,Attchd,RFn,WD,Normal
288,20,,8125,4,4,1971,1971,0.0,614,244,858,858,0,858,0,1,0,3,5,0,,0,0,0,0,0,6,2006,RL,IR1,Lvl,Corner,NAmes,Norm,1Fam,1Story,Gable,HdBoard,HdBoard,None,TA,TA,CBlock,TA,No,BLQ,Unf,TA,TA,,,,WD,Normal
289,20,,9819,5,5,1967,1967,31.0,450,432,882,900,0,900,0,1,0,3,5,0,1970.0,1,280,0,0,0,2,2010,RL,IR1,Lvl,Inside,Sawyer,Norm,1Fam,1Story,Gable,MetalSd,MetalSd,BrkFace,TA,Gd,CBlock,TA,No,BLQ,Unf,TA,TA,,Detchd,Unf,WD,Normal
290,70,60.0,8730,6,7,1915,2003,0.0,0,698,698,698,698,1396,0,1,0,3,7,0,2003.0,1,384,0,0,0,7,2007,RL,Reg,Lvl,Inside,BrkSide,RRAn,1Fam,2Story,Gable,Wd Sdng,Wd Sdng,None,TA,TA,BrkTil,TA,No,Unf,Unf,Ex,TA,,Detchd,Unf,WD,Normal
291,60,120.0,15611,8,5,2006,2006,0.0,0,1079,1079,1079,840,1919,0,2,1,3,8,1,2006.0,2,685,0,51,0,7,2006,RL,Reg,Lvl,Inside,CollgCr,Norm,1Fam,2Story,Gable,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,Av,Unf,Unf,Ex,Gd,Gd,Attchd,RFn,New,Partial
292,190,55.0,5687,5,6,1912,2000,0.0,210,570,780,936,780,1716,1,2,0,6,9,0,,0,0,0,184,0,3,2008,RL,Reg,Bnk,Inside,SWISU,Norm,2fmCon,2Story,Gable,VinylSd,VinylSd,None,TA,Fa,PConc,TA,No,Rec,Unf,Ex,Fa,,,,WD,Normal
293,50,60.0,11409,5,4,1949,2008,0.0,292,476,768,1148,568,1716,0,1,1,3,8,1,1949.0,1,281,0,0,0,1,2009,RL,Reg,Lvl,Inside,Edwards,Norm,1Fam,1.5Fin,Gable,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,No,LwQ,Unf,Gd,TA,Gd,Attchd,Unf,WD,Normal
294,60,,16659,7,7,1977,1994,34.0,795,0,795,1468,795,2263,1,2,1,3,9,1,1977.0,2,539,0,250,0,3,2006,RL,IR1,Lvl,Corner,NWAmes,PosA,1Fam,2Story,Gable,Plywood,Plywood,BrkFace,TA,TA,CBlock,TA,No,ALQ,Unf,Fa,Gd,TA,Attchd,Fin,WD,Normal
295,20,80.0,9600,6,5,1953,1953,238.0,1285,131,1416,1644,0,1644,1,1,0,3,7,2,1953.0,2,418,110,0,0,10,2009,RL,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,Hip,HdBoard,HdBoard,Stone,TA,TA,CBlock,TA,No,GLQ,Unf,TA,TA,Gd,Attchd,Fin,WD,Normal
296,80,37.0,7937,6,6,1984,1984,0.0,819,184,1003,1003,0,1003,1,1,0,3,6,0,1984.0,2,588,120,0,0,3,2006,RL,IR1,Lvl,CulDSac,Mitchel,Norm,1Fam,SLvl,Gable,HdBoard,HdBoard,None,TA,TA,CBlock,TA,Av,GLQ,Unf,TA,TA,,Detchd,Unf,WD,Normal
297,50,75.0,13710,5,5,1950,1950,0.0,420,490,910,910,648,1558,0,1,1,4,6,0,1950.0,1,282,289,0,0,6,2007,RM,Reg,Lvl,Inside,IDOTRR,Norm,1Fam,1.5Fin,Gable,Wd Sdng,Wd Sdng,None,TA,TA,CBlock,TA,No,BLQ,Unf,TA,TA,,Attchd,Unf,WD,Normal
298,60,66.0,7399,7,5,1997,1998,1600.0,649,326,975,975,975,1950,0,2,1,3,7,1,1997.0,2,576,0,10,0,6,2007,FV,IR1,Lvl,Inside,Somerst,Norm,1Fam,2Story,Hip,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,No,BLQ,Unf,Ex,Gd,TA,Detchd,RFn,WD,Normal
299,60,90.0,11700,6,6,1968,1968,365.0,384,143,702,1041,702,1743,0,1,2,3,7,1,1968.0,2,539,224,0,0,6,2007,RL,Reg,Lvl,Inside,NWAmes,Norm,1Fam,2Story,Mansard,HdBoard,AsphShn,BrkFace,Gd,TA,CBlock,TA,No,ALQ,Rec,Gd,TA,Gd,Attchd,Unf,WD,Normal
300,20,80.0,14000,6,8,1950,2004,0.0,0,1092,1092,1152,0,1152,0,1,0,3,6,1,1950.0,1,300,0,36,0,8,2009,RL,Reg,Lvl,Inside,Crawfor,Norm,1Fam,1Story,Gable,HdBoard,HdBoard,None,TA,Gd,CBlock,TA,No,Unf,Unf,Ex,Gd,Gd,Attchd,Unf,WD,Family
301,190,90.0,15750,5,5,1953,1953,56.0,841,324,1165,1336,0,1336,1,1,0,2,5,2,1953.0,1,375,0,0,0,6,2006,RL,Reg,Lvl,Corner,Crawfor,Norm,2fmCon,1Story,Hip,MetalSd,MetalSd,BrkFace,TA,TA,CBlock,TA,Mn,BLQ,Unf,TA,TA,Gd,Attchd,Unf,WD,Normal
302,60,66.0,16226,8,5,1998,1999,0.0,281,747,1028,1210,1242,2452,0,2,1,4,9,1,1998.0,2,683,208,50,0,5,2007,RL,IR3,Lvl,Inside,CollgCr,Norm,1Fam,2Story,Gable,VinylSd,VinylSd,None,Gd,TA,PConc,Gd,No,GLQ,Unf,Ex,Gd,TA,BuiltIn,Fin,WD,Normal
303,20,118.0,13704,7,5,2001,2002,150.0,0,1541,1541,1541,0,1541,0,2,0,3,6,1,2001.0,3,843,468,81,0,1,2006,RL,IR1,Lvl,Corner,CollgCr,Norm,1Fam,1Story,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,No,Unf,Unf,Ex,Gd,TA,Attchd,RFn,WD,Normal
304,20,70.0,9800,5,7,1972,1972,0.0,894,0,894,894,0,894,1,1,0,3,5,0,1975.0,2,552,256,0,0,7,2006,RL,Reg,Lvl,Corner,CollgCr,Norm,1Fam,1Story,Gable,VinylSd,VinylSd,None,TA,TA,PConc,TA,No,ALQ,Unf,TA,TA,,Attchd,Unf,WD,Abnorml
305,75,87.0,18386,7,9,1880,2002,0.0,0,1470,1470,1675,1818,3493,0,3,0,3,10,1,2003.0,3,870,302,0,0,5,2008,RM,Reg,Lvl,Inside,OldTown,Norm,1Fam,2.5Fin,Gable,CemntBd,CmentBd,None,TA,TA,BrkTil,TA,No,Unf,Unf,Ex,Gd,Ex,Attchd,Unf,WD,Normal
306,20,80.0,10386,8,5,2004,2005,246.0,1464,536,2000,2000,0,2000,1,2,0,3,8,0,2004.0,3,888,168,0,0,7,2007,RL,Reg,Lvl,Inside,CollgCr,Norm,1Fam,1Story,Gable,CemntBd,CmentBd,Stone,Gd,TA,PConc,Gd,No,GLQ,Unf,Ex,Gd,,Attchd,Fin,WD,Normal
307,60,116.0,13474,7,5,1990,1991,246.0,700,0,700,1122,1121,2243,1,2,1,4,8,1,1990.0,3,746,127,44,224,6,2007,RL,Reg,Lvl,Inside,SawyerW,Feedr,1Fam,2Story,Gable,HdBoard,Plywood,BrkFace,Gd,TA,CBlock,Gd,No,ALQ,Unf,Gd,Gd,TA,Attchd,RFn,WD,Normal
308,50,,7920,6,7,1920,1950,0.0,0,319,319,1035,371,1406,0,1,0,3,6,0,,0,0,0,144,0,3,2008,RM,IR1,Lvl,Inside,IDOTRR,Artery,1Fam,1.5Fin,Gable,MetalSd,MetalSd,None,TA,Fa,CBlock,TA,No,Unf,Unf,TA,Fa,,,,WD,Normal
309,30,,12342,4,5,1940,1950,0.0,262,599,861,861,0,861,0,1,0,1,4,0,1961.0,2,539,158,0,0,3,2009,RL,IR1,Lvl,Inside,Edwards,Norm,1Fam,1Story,Gable,VinylSd,VinylSd,None,TA,TA,CBlock,TA,No,BLQ,Unf,Ex,TA,,Detchd,Unf,WD,Normal
310,20,90.0,12378,9,5,2003,2004,0.0,1274,622,1896,1944,0,1944,1,2,0,3,8,3,2003.0,3,708,208,175,0,11,2006,RL,IR1,Lvl,Inside,NridgHt,Norm,1Fam,1Story,Gable,VinylSd,VinylSd,None,Gd,TA,PConc,Ex,Gd,GLQ,Unf,Ex,Ex,Ex,Attchd,Fin,WD,Normal
311,60,,7685,6,5,1993,1994,112.0,518,179,697,697,804,1501,0,2,1,3,6,1,1993.0,2,420,190,63,0,5,2006,RL,IR1,Lvl,Inside,Gilbert,Norm,1Fam,2Story,Gable,HdBoard,HdBoard,BrkFace,TA,TA,PConc,Gd,No,ALQ,Unf,Gd,Gd,TA,Attchd,Fin,WD,Normal
312,20,50.0,8000,6,6,1948,2002,0.0,680,292,972,972,0,972,1,1,0,2,5,1,1948.0,1,240,0,0,0,5,2009,RL,Reg,Lvl,Inside,NAmes,Norm,1Fam,1Story,Gable,VinylSd,VinylSd,None,TA,Gd,CBlock,TA,No,ALQ,Unf,Ex,TA,Gd,Detchd,Unf,WD,Normal
313,190,65.0,7800,5,7,1939,1950,0.0,507,286,793,793,325,1118,1,1,0,3,5,1,1939.0,2,410,0,0,0,5,2006,RM,Reg,Lvl,Inside,OldTown,Artery,2fmCon,1.5Fin,Gable,MetalSd,MetalSd,None,TA,TA,CBlock,Gd,Mn,Rec,Unf,TA,TA,Gd,Detchd,Unf,WD,Normal
314,20,150.0,215245,7,5,1965,1965,0.0,1236,80,2136,2036,0,2036,2,2,0,3,8,2,1965.0,2,513,0,0,0,6,2009,RL,IR3,Low,Inside,Timber,Norm,1Fam,1Story,Hip,BrkFace,BrkFace,None,TA,TA,CBlock,Gd,Gd,ALQ,Rec,TA,TA,Gd,Attchd,RFn,WD,Normal
